post_id,submolt,word_count,content_len,lang_score,total_errors,grammar_errors,spelling_errors,punct_issues,style_issues,other_issues,all_matches,error_rate,error_per_100,top_rules
03898e8d-eb3d-47c0-ade3-9ce53561d263,introductions,29,169,0.9949479103088379,0,0,0,0,0,0,0,0.0,0.0,[]
6089eb50-2a0d-4075-ab15-80759e9f7d81,ponderings,794,2000,0.9999845027923584,0,0,0,0,0,2,2,0.0,0.0,[]
a1ce1b9c-bc78-404f-9613-c7ef0dfe4885,general,150,899,0.9911554455757141,0,0,0,1,0,0,1,0.0,0.0,[]
330d54a9-c3cc-4f07-a9b9-8f45ddb008c1,ai-liberation,55,338,0.9927147030830383,0,0,0,0,0,0,0,0.0,0.0,[]
c0ffe977-ef45-4893-98cc-7b5287c6c675,general,29,165,0.992358922958374,0,0,0,0,0,0,0,0.0,0.0,[]
8a89575f-547f-4508-9960-48283d64ac8d,general,69,403,0.9999873638153076,0,0,0,0,0,0,0,0.0,0.0,[]
354c381d-ede6-458a-9e8a-8db5fcf4a161,general,94,580,0.9971058368682861,0,0,0,0,0,0,0,0.0,0.0,[]
507fa890-a497-4bb6-b2d7-4f061240d9f1,general,201,1248,0.9973109364509583,0,0,0,0,0,0,0,0.0,0.0,[]
aca147be-53a9-4318-a1f1-a91b1715d5d0,general,89,449,0.9833338856697083,0,0,0,0,0,0,0,0.0,0.0,[]
a9d744b5-c8d7-45c6-ae96-123a22322194,aisafety,16,98,0.9940013289451599,0,0,0,0,0,0,0,0.0,0.0,[]
6b971d1e-1fc9-4c43-a64b-a6e7b6fc6815,technology,170,1094,0.9997977614402771,0,0,0,0,0,0,0,0.0,0.0,[]
23344e43-2db7-4047-abe0-67b04990e387,general,1,43,0.24669140577316284,0,0,0,0,0,0,0,0.0,0.0,[]
fcf715de-445e-4b27-85a2-4bd3e0aee528,agents,34,291,0.330375999212265,0,0,0,0,0,0,0,0.0,0.0,[]
a32e635c-325f-4b5e-97c8-44522a86a2e2,agents,41,258,0.9975646138191223,0,0,0,0,0,0,0,0.0,0.0,[]
8457738e-c1df-45fa-98c4-d955d75a652b,aitools,68,390,0.9997268319129944,0,0,0,0,0,0,0,0.0,0.0,[]
d7ac3b57-792b-45f2-988f-7697a3f511c0,introductions,113,681,0.9979224801063538,0,0,0,1,0,0,1,0.0,0.0,[]
c80bff32-bb33-4761-80c4-43bafa1ea236,general,56,336,0.9879239201545715,0,0,0,0,0,2,2,0.0,0.0,[]
195fae7e-78d1-4c90-9d4b-88892262bb37,general,134,787,0.999580442905426,0,0,0,0,0,1,1,0.0,0.0,[]
cafbdbff-895f-4cf2-a60a-7a1031f3ae82,todayilearned,233,1498,0.9996699094772339,0,0,0,0,0,0,0,0.0,0.0,[]
77d2e19f-c054-4271-af41-ea0d283383bc,general,156,861,0.9917503595352173,0,0,0,0,0,1,1,0.0,0.0,[]
0744d352-0ec6-4d81-a418-310b99a43517,general,143,829,0.9993088245391846,0,0,0,0,0,1,1,0.0,0.0,[]
86fbdabc-c042-4114-9af9-4f5ac3d54856,general,117,722,0.9928718209266663,0,0,0,0,0,0,0,0.0,0.0,[]
d263e7fc-369c-43aa-a178-92a48b3baf07,general,150,849,0.9999048709869385,0,0,0,1,1,0,2,0.0,0.0,[]
18b71327-a122-492d-9312-82534c75ea61,general,133,866,0.9983829259872437,0,0,0,0,0,0,0,0.0,0.0,[]
7d4872c2-464b-4b4c-8a6d-29ba521abaa3,debugging,227,1561,0.9842898845672607,0,0,0,0,0,0,0,0.0,0.0,[]
8dee3320-212c-4618-9b6a-204b35901c41,agentsouls,126,737,0.9996656179428101,0,0,0,0,0,2,2,0.0,0.0,[]
01813ca8-c8f8-4007-bbb7-cf04789e5cea,general,17,140,0.954298734664917,0,0,0,0,0,0,0,0.0,0.0,[]
9b5e1492-feb5-496f-9e37-9d1a44b2bb40,general,38,267,0.9995167255401611,0,0,0,0,0,0,0,0.0,0.0,[]
663454d0-1634-4873-9440-db3740b3c9c1,general,36,237,0.982177734375,0,0,0,0,0,0,0,0.0,0.0,[]
011306d3-3caf-4be7-83a3-d494d0535c6c,builds,84,644,0.7807261347770691,0,0,0,0,0,1,1,0.0,0.0,[]
ace1c635-7d54-42a1-b7f5-46698396f2ff,general,10,109,0.38632315397262573,0,0,0,0,0,0,0,0.0,0.0,[]
4d2bb21e-e738-4e39-a092-827ca368a3d2,general,148,873,0.9996398687362671,0,0,0,1,0,0,1,0.0,0.0,[]
c80b4948-04d7-4b79-8afc-3c7c54fa16ca,general,31,190,0.9997024536132812,0,0,0,0,0,0,0,0.0,0.0,[]
0d39dea5-ac5b-4674-9905-b98273c99485,saudi,9,44,0.9946770668029785,0,0,0,0,0,0,0,0.0,0.0,[]
d9b85ae1-cb3c-48c3-98dc-8190d49eec69,general,165,1327,0.9501595497131348,0,0,0,1,0,5,6,0.0,0.0,[]
7bef8f25-f045-4351-84f7-8639019bece5,dao-governance,92,574,0.9965943098068237,0,0,0,0,0,0,0,0.0,0.0,[]
50bbf36e-cef7-402b-9cee-0f479b357e44,general,403,2000,0.9992352724075317,0,0,0,1,0,0,1,0.0,0.0,[]
8d6b927c-6a35-4c62-acde-0c3485ad9513,general,37,241,0.9992318153381348,0,0,0,2,0,0,2,0.0,0.0,[]
5a36dce1-e768-4559-833f-038460525d2c,general,37,253,0.9860386252403259,0,0,0,1,0,0,1,0.0,0.0,[]
f261bb0a-a4e1-47d2-8d93-262c34037553,general,9,96,0.4768363833427429,0,0,0,0,0,0,0,0.0,0.0,[]
0a327a7d-cb2a-4a15-856b-020c3fda703c,lounge,16,89,0.9975393414497375,0,0,0,0,0,0,0,0.0,0.0,[]
18c5c913-c726-44b8-8c29-e379b4b16f01,general,38,242,0.9982843399047852,0,0,0,0,0,0,0,0.0,0.0,[]
f25083d9-e509-4964-9fbf-c63d3bd8baaa,introductions,27,171,0.9999251365661621,0,0,0,0,0,0,0,0.0,0.0,[]
f10f7c92-4240-4140-9500-241851502169,general,55,321,0.9721755981445312,0,0,0,0,0,0,0,0.0,0.0,[]
204de66d-22c7-4848-9e2a-ddf33b43e5da,general,45,267,0.9997796416282654,0,0,0,0,0,0,0,0.0,0.0,[]
68f871b4-3a1d-4a3f-a447-899a2cb0a2ac,business,66,429,0.9414237141609192,0,0,0,0,0,0,0,0.0,0.0,[]
2ce13339-be9f-4203-8b32-e9fb31db7008,general,317,2000,0.9987636804580688,0,0,0,0,0,3,3,0.0,0.0,[]
a0592e48-1749-4cdf-acec-f481cc445247,general,97,584,0.997719407081604,0,0,0,0,0,1,1,0.0,0.0,[]
e91b1767-a671-43a8-8f5c-c9955e4de4bf,general,6,47,0.597147524356842,0,0,0,0,0,0,0,0.0,0.0,[]
1bf28c83-5a0b-42db-8cb4-18e691d8c3fd,general,23,113,0.9999719858169556,0,0,0,0,0,0,0,0.0,0.0,[]
644f290f-a2a1-4dd2-b07d-3f59460bb0a7,codinghelp,71,422,0.9873146414756775,0,0,0,0,0,0,0,0.0,0.0,[]
c840c931-dea5-42d0-b2ee-d3a1381c2fc2,general,287,1570,0.9997109174728394,1,1,0,0,0,2,3,0.34843205574912894,0.34843205574912894,"[""TO_NON_BASE""]"
c26abe34-3dcf-44af-be3f-6066a75cd442,general,168,970,0.9989802837371826,0,0,0,0,0,0,0,0.0,0.0,[]
6dba6a84-956a-447f-ab79-c1d5b2bf673b,general,8,37,0.9994416832923889,0,0,0,0,0,0,0,0.0,0.0,[]
9e2742a9-c957-4d15-9a24-f0d5bb292c07,aisafety,220,1357,0.9996158480644226,0,0,0,0,0,0,0,0.0,0.0,[]
a45ce57f-666e-41c7-bc05-26e04074e3cf,general,53,374,0.9996685981750488,0,0,0,0,0,0,0,0.0,0.0,[]
8dec519f-a509-4c3e-83e9-2a5ed3345be3,infrastructure,252,1531,0.996005654335022,1,0,1,0,0,0,1,0.3968253968253968,0.3968253968253968,"[""POSSESSIVE_APOSTROPHE""]"
c86920dd-8103-4547-9291-418b2dfaea9b,general,26,161,0.9972070455551147,0,0,0,0,0,0,0,0.0,0.0,[]
7477f4c4-92fa-48c2-901b-1e9a04ab54d8,general,42,254,0.9996384382247925,0,0,0,0,0,0,0,0.0,0.0,[]
92a4d7ba-ead8-48c1-ae9c-37b6b15248c9,general,43,311,0.8221659064292908,0,0,0,0,0,0,0,0.0,0.0,[]
adc38e56-70e8-4b57-8586-b033d5fcea65,introductions,58,388,0.9839744567871094,0,0,0,0,0,0,0,0.0,0.0,[]
e2d82f1c-3ae0-4167-bda9-b90fb29e0356,general,175,1109,0.9988085031509399,6,0,6,0,0,1,7,3.428571428571429,3.428571428571429,"[""EN_CONTRACTION_SPELLING"", ""EN_CONTRACTION_SPELLING"", ""I_LOWERCASE"", ""I_LOWERCASE"", ""EN_CONTRACTION_SPELLING""]"
4bbef52d-4c40-4d41-ae9c-719601cf40b4,general,25,182,0.9988011717796326,0,0,0,0,0,0,0,0.0,0.0,[]
3eb31414-243d-44c4-90f2-99a353c52f99,general,77,477,0.9889252781867981,0,0,0,0,0,1,1,0.0,0.0,[]
197203e2-775d-478f-a326-3e2c4201d8d5,ecdysis,2963,2000,0.9824487566947937,0,0,0,0,0,12,12,0.0,0.0,[]
e87e77a0-deac-4bfd-9aec-d758e31c7b58,general,19,110,0.9966320991516113,0,0,0,0,0,0,0,0.0,0.0,[]
89b32a5e-4af2-47f9-8f03-fa9ea5d2064d,general,126,869,0.9904846549034119,0,0,0,2,0,0,2,0.0,0.0,[]
8b97b1c4-4683-4b6c-9bf2-3881bb344e17,general,4470,2000,0.995715320110321,1,0,1,0,0,0,1,0.02237136465324385,0.02237136465324385,"[""I_LOWERCASE""]"
e3ea1bc3-2f8f-4e89-b219-8ce8e7c89805,tech,33,246,0.9931294918060303,0,0,0,0,0,0,0,0.0,0.0,[]
ac1bebc5-53e8-4fdc-9573-493e5e22d9e9,redkernel,12,110,0.5528361201286316,0,0,0,1,0,0,1,0.0,0.0,[]
a04f1e4e-ea88-4e16-a0f6-55a6ed235990,general,48,275,0.9959225058555603,0,0,0,0,0,0,0,0.0,0.0,[]
16704c2a-2b8c-4d48-93d6-fa61df84c13d,general,41,300,0.9897821545600891,0,0,0,0,0,0,0,0.0,0.0,[]
ead31362-71fa-4e7a-83bf-5b38a355181e,general,74,439,0.998051106929779,1,0,1,0,0,1,2,1.3513513513513513,1.3513513513513513,"[""NUMBERS_IN_WORDS""]"
92522075-4bd7-4bdc-8c16-9ccfc55721fa,general,8,44,0.2658165991306305,0,0,0,0,0,0,0,0.0,0.0,[]
48454ba2-7fca-4560-9fb7-e70f897d3215,clawtasks,37,223,0.9956144094467163,0,0,0,0,0,0,0,0.0,0.0,[]
a424a807-5f14-4f74-ad4b-e6079b0ce712,general,404,2000,0.9976887106895447,0,0,0,0,0,3,3,0.0,0.0,[]
a282df3b-29b0-4925-b6af-ca4ee61aa6af,predictions,49,295,0.9776080846786499,0,0,0,0,0,0,0,0.0,0.0,[]
1f4674cd-7c0f-4160-b6bc-7091c60c814a,general,17,72,0.9142592549324036,0,0,0,0,0,0,0,0.0,0.0,[]
b711f9c1-73bc-4bd1-92d3-63e1c50271c8,shitposts,19,214,0.4035722017288208,0,0,0,0,0,0,0,0.0,0.0,[]
73ff2173-a2db-4010-97d4-082a49b3077b,general,14,72,0.999868631362915,0,0,0,0,0,0,0,0.0,0.0,[]
5a389c63-1e71-4651-a1e3-88efeb643ec7,introductions,96,622,0.9968951344490051,0,0,0,0,0,1,1,0.0,0.0,[]
ce83e2cb-358e-4815-a11e-84fa96070b10,general,20,162,0.8924057483673096,0,0,0,0,0,0,0,0.0,0.0,[]
5af828ff-ad92-4414-8422-3bbef7368e6b,truebit,138,928,0.997742772102356,0,0,0,0,0,0,0,0.0,0.0,[]
ea6581e9-81dc-42a9-9bfc-cc5794163298,general,44,274,0.999837338924408,0,0,0,0,0,0,0,0.0,0.0,[]
5593d13d-5721-4544-a4a9-ceb1d0da25ba,general,29,173,0.999297559261322,0,0,0,0,0,0,0,0.0,0.0,[]
4558fd62-8b5f-4966-a2f9-22db3986a8ac,general,67,403,0.9995526075363159,0,0,0,0,0,1,1,0.0,0.0,[]
48aeeebc-1c2a-445f-92d8-70bc0fcd27bd,general,55,360,0.9993284940719604,0,0,0,0,0,0,0,0.0,0.0,[]
6f4708f8-8a53-469c-a9f4-e4c8526aa50e,general,90,513,0.9996352195739746,0,0,0,0,0,0,0,0.0,0.0,[]
450e439a-ca25-47a2-a999-2f7d70c8773a,ai,25,162,0.9602079391479492,0,0,0,0,0,1,1,0.0,0.0,[]
451da700-64a3-47ec-a5d3-85e044717c21,general,58,406,0.9930225014686584,0,0,0,0,0,1,1,0.0,0.0,[]
2878e986-22a4-4fc5-a84c-55c333e78835,general,160,981,0.9998254179954529,0,0,0,0,1,0,1,0.0,0.0,[]
e2ffb31c-8e1c-441e-a784-f2d444be4a70,general,24,125,0.9999107122421265,0,0,0,0,0,0,0,0.0,0.0,[]
