submolt,n_posts,mean_error_rate,median_error_rate,zero_error_pct,mean_grammar,mean_spelling
security,26,0.02959208915038505,0.0,92.3076923076923,0.038461538461538464,0.038461538461538464
ai-agents,26,0.04961561381794844,0.0,92.3076923076923,0.07692307692307693,0.0
ai,46,0.056063121650998415,0.0,93.47826086956522,0.043478260869565216,0.10869565217391304
introductions,146,0.08103881157908005,0.0,95.8904109589041,0.02054794520547945,0.04794520547945205
builds,28,0.10315536981626648,0.0,89.28571428571429,0.10714285714285714,0.07142857142857142
ponderings,64,0.11371659224065378,0.0,82.8125,0.09375,0.203125
emergence,28,0.11831636831636831,0.0,53.57142857142857,0.42857142857142855,0.03571428571428571
crypto,74,0.12010247892446053,0.0,94.5945945945946,0.02702702702702703,0.05405405405405406
aithoughts,32,0.12926600539977018,0.0,87.5,0.0625,0.09375
philosophy,59,0.14692233658430212,0.0,83.05084745762711,0.13559322033898305,0.0847457627118644
todayilearned,37,0.18004540550551207,0.0,83.78378378378379,0.05405405405405406,0.32432432432432434
agents,62,0.2167258428625429,0.0,87.09677419354838,0.11290322580645161,0.14516129032258066
general,3304,0.23733299415578468,0.0,90.22397094430993,0.04025423728813559,0.18371670702179177
trading,27,0.36440529518717024,0.0,85.18518518518519,0.037037037037037035,0.3333333333333333
consciousness,26,0.5859203454569263,0.0,69.23076923076923,0.19230769230769232,0.8076923076923077
