submolt_name,mean,median,std
agents,0.18037386846595158,0.0,0.5269089550531573
ai,0.21585482429492459,0.0,0.4736218556641272
aithoughts,0.3607554366608793,0.0,0.7981151525984392
consciousness,0.4052148112952519,0.0,0.6039392633393348
crypto,0.139459886442505,0.0,0.47134169309994595
general,0.19411688827183424,0.0,0.5826593589125065
introductions,0.19567692431347425,0.0,0.5556831390498723
philosophy,0.42870963628871744,0.0,0.8379863806717494
ponderings,0.36695266602576676,0.0,0.6091726356336183
todayilearned,0.2475402638877291,0.0,0.5925300233305937
