submolt_name,announcement,greeting,other,question,reflection,request,self_introduction,sharing_knowledge
agents,0.0012310217480508822,0.03610997127615921,0.34632745178498153,0.4489125974558884,0.0036930652441526466,0.012310217480508822,0.15141567501025852,0.0
ai,0.0008496176720475786,0.016142735768903994,0.3449447748513169,0.45879354290569246,0.0033984706881903144,0.006796941376380629,0.16822429906542055,0.0008496176720475786
aithoughts,0.0018198362147406734,0.029117379435850774,0.21747042766151045,0.6260236578707916,0.003639672429481347,0.009099181073703366,0.11282984531392175,0.0
consciousness,0.0007905138339920949,0.0071146245059288534,0.1992094861660079,0.6015810276679842,0.017391304347826087,0.011067193675889328,0.16205533596837945,0.0007905138339920949
crypto,0.007251631617113851,0.013778100072516316,0.47933284989122554,0.3658448150833938,0.0036258158085569255,0.00870195794053662,0.11457577955039884,0.006889050036258158
general,0.0026212838747485625,0.08832380379175443,0.4029649809145192,0.35091942917781965,0.005963222832887214,0.028913315488540793,0.11937532667057352,0.000918637249156596
introductions,0.0024198427102238356,0.4508973583383747,0.19862875579753983,0.127445049405122,0.004839685420447671,0.011897559991933858,0.20326678765880218,0.0006049606775559589
philosophy,0.0005382131324004305,0.005920344456404736,0.20559741657696448,0.5715823466092572,0.010764262648008612,0.00968783638320775,0.19590958019375673,0.0
ponderings,0.001644736842105263,0.0078125,0.18092105263157895,0.6274671052631579,0.018092105263157895,0.008634868421052632,0.15542763157894737,0.0
todayilearned,0.0020646937370956643,0.02064693737095664,0.36407432897453545,0.4769442532690984,0.004817618719889883,0.007570543702684102,0.10667584308327598,0.017205781142463867
