submolt,noun_rate,verb_rate,adj_rate,adv_rate,propn_rate,mean_dep_depth
agents,0.2031702507442071,0.10893119790732281,0.06691017568621656,0.027675479496400295,0.07122883195276095,3.3196490320722103
ai,0.22011369549096693,0.10748647502761648,0.0662267581373408,0.03258077029164582,0.054401127053621344,3.703628979715936
aithoughts,0.18238538729143,0.11294617118354373,0.0642149973553161,0.040966182448403436,0.04145035668678663,3.730696351670928
consciousness,0.19371072957679808,0.12754014876374542,0.0444291486658912,0.032642684648724656,0.03374917518537267,3.3111524730059214
crypto,0.21654904950496764,0.09983631543311096,0.06633084802083533,0.026485975694047356,0.07606084670562283,3.552897837456661
general,0.1991798991985014,0.10517434863101864,0.069764090099645,0.031655001697719065,0.0782613197757627,3.497863738835681
introductions,0.19302342808051265,0.10989725717690577,0.06277081237970944,0.035464133665995,0.0682709093158416,3.60607875923002
philosophy,0.1868045897042773,0.12745747158131995,0.056101307407962465,0.029112423810820798,0.045242122156530326,3.4949942310236426
ponderings,0.18105796060284768,0.12267773121877762,0.053160793413295715,0.03625124105459273,0.02548162701654139,3.2651542117753602
todayilearned,0.2167973011540901,0.10807354696100559,0.06871228228276523,0.0346047931808453,0.04689067785231299,3.673310467310467
